ID,cow_ID,Parity,DIM,my
1001_8,1388,8,9,31.4034648023278
1001_8,1388,8,10,33.2425195036875
1001_8,1388,8,11,33.6648663172485
1001_8,1388,8,12,33.2506656866773
1001_8,1388,8,13,34.7809205961249
1001_8,1388,8,15,34.6257826209652
1001_8,1388,8,16,36.0964309387906
1001_8,1388,8,17,35.8508027935951
1001_8,1388,8,18,36.7896461343573
1001_8,1388,8,19,34.9017415585869
1001_8,1388,8,20,35.0052646082819
1001_8,1388,8,21,33.948063519586
1001_8,1388,8,22,34.4405206850024
1001_8,1388,8,23,35.6326708103558
1001_8,1388,8,24,36.9655988488729
1001_8,1388,8,25,36.4545330314378
1001_8,1388,8,26,37.2478486060325
1001_8,1388,8,28,39.7205685930134
1001_8,1388,8,29,39.062680283708
1001_8,1388,8,30,36.7394037884991
1001_8,1388,8,31,37.2213934597248
1001_8,1388,8,32,38.7027054689076
1001_8,1388,8,33,37.5291242345569
1001_8,1388,8,34,38.6105863637435
1001_8,1388,8,35,36.5663933903868
1001_8,1388,8,36,39.9535476502082
1001_8,1388,8,37,40.3710176809966
1001_8,1388,8,38,39.3331035177367
1001_8,1388,8,40,40.3641076461175
1001_8,1388,8,41,38.6321350364541
1001_8,1388,8,43,39.7833471648009
1001_8,1388,8,44,37.8165877096972
1001_8,1388,8,45,37.8051228940166
1001_8,1388,8,46,41.4799959903606
1001_8,1388,8,47,40.8177924703798
1001_8,1388,8,48,41.3193685138554
1001_8,1388,8,49,41.7389719431136
1001_8,1388,8,50,39.3669390241039
1001_8,1388,8,51,40.4152414666242
1001_8,1388,8,52,41.7117873394999
1001_8,1388,8,53,39.4904698234945
1001_8,1388,8,54,40.481207712828
1001_8,1388,8,55,41.985899973343
1001_8,1388,8,56,41.5345058372757
1001_8,1388,8,57,42.0100360289209
1001_8,1388,8,58,41.956379382589
1001_8,1388,8,59,42.1878249041122
1001_8,1388,8,60,38.272102433644
1001_8,1388,8,61,41.4132422058157
1001_8,1388,8,62,42.821945583148
1001_8,1388,8,63,39.6688238692937
1001_8,1388,8,64,42.1498909227485
1001_8,1388,8,65,43.4262951719499
1001_8,1388,8,67,40.0951265412308
1001_8,1388,8,68,40.4857638238295
1001_8,1388,8,69,43.5202989501277
1001_8,1388,8,70,41.3911213366673
1001_8,1388,8,71,41.9373936561178
1001_8,1388,8,72,41.5223572787192
1001_8,1388,8,73,41.8987531697735
1001_8,1388,8,74,43.6641360404824
1001_8,1388,8,75,39.4572297948565
1001_8,1388,8,76,41.8438810038155
1001_8,1388,8,77,44.6194489441331
1001_8,1388,8,78,42.1934825057037
1001_8,1388,8,79,42.3623296787942
1001_8,1388,8,80,41.6489775879168
