ID,n,obs_mean,pred_mean,R2_adj,RMSPE,RMSE_perc,MAE,MAE_perc,RMSPE_adj,MAE_adj,DW,CCC,Cb,r,mean_bias,slope_bias,random_error,mean_bias_perc_MSPE,slope_bias_perc_MSPE,random_error_perc_MSPE,Model,Parity,maxDIM,Parity_class,Lac_len_group
1001_8,327,29.7714622342953,29.7712745812862,0.980761337928678,1.37562364258423,4.62061161711961,1.08370736383967,3.64008779720365,1.38411522719339,1.09712788846927,1.96117235952679,0.990378026697274,0.999954252630205,0.990423335959878,3.52136517974749e-08,3.20460330483754e-07,1.89234005036274,1.86085186814915e-06,1.69346027523095e-05,99.9999812045471,Dijkstra,8,373,Multiparous,Group1
1063_1,449,10.8348976623237,10.8601276109406,0.926337704233969,1.48418793790479,13.6982183326546,1.18631431293008,10.9490126247824,1.49084352258043,1.19697781237215,1.82837820757606,0.961711401609139,0.998902994408976,0.962767563008616,0.000636550307213839,0.00208507193348253,2.20009221278138,0.028897144964929,0.0946549318118678,99.8764479232235,Dijkstra,1,509,Primiparous,Group2
1141_4,276,15.3610497628861,15.3600029013984,0.890263722955836,1.31444901486224,8.55702595299241,1.03897140356032,6.76367448578015,1.32407880671359,1.05425039478915,2.13975069520234,0.942677460493115,0.99841636669023,0.944172683805363,1.09591897433172e-06,1.81792047455685e-05,1.7277569375486,6.34294514702618e-05,0.0010521735750402,99.9988843969735,Dijkstra,4,315,Multiparous,Group1
1313_5,327,15.5038845979849,15.503191190028,0.932850461661122,1.29964553778659,8.3827090531589,1.04313773104845,6.72823462052878,1.30766811729482,1.05605584536484,2.09352091953224,0.965604574719101,0.999423264585116,0.966161794442464,4.80814594769038e-07,4.87196833766697e-06,1.68907317110565,2.84660889336339e-05,0.000288439422369229,99.9996830944882,Dijkstra,5,365,Multiparous,Group1
1404_1,298,16.2652589411418,16.2652761306124,0.559942916449397,1.30061832745564,7.99629647558712,1.00876001996791,6.2019302835464,1.30943617981257,1.02248464608992,1.95413397491869,0.721519098652293,0.960415070537844,0.75125757683939,2.95477900509372e-10,3.56763282222163e-08,1.6916079977417,1.74672793354335e-08,2.10901860899169e-06,99.9999978735141,Dijkstra,1,339,Primiparous,Group1
1450_6,359,18.1196515305864,18.1219608028035,0.92622362603275,1.41147297038364,7.78973573526535,1.10083658152182,6.07537390917028,1.41940265620652,1.11324037398967,2.05942113913987,0.961971450809267,0.999214476861103,0.962727695690688,5.33273817306724e-06,6.96169488464669e-05,1.9921809964366,0.000267673347063829,0.00349437776717004,99.996237948886,Dijkstra,6,405,Multiparous,Group2
1517_1,289,36.0840843989202,36.0846587457886,0.878202903112947,1.35487784146807,3.75477960446355,1.07395368124545,2.97625310198418,1.36435262712026,1.0890267153682,2.12681901027479,0.935778143396158,0.997841253725288,0.937802621311329,3.29874325164458e-07,3.21666902496854e-05,1.8356614687366,1.79700065152383e-05,0.00175229046113947,99.9982297395322,Dijkstra,1,325,Primiparous,Group1
1581_2,341,49.2168970992404,49.2141787150438,0.986867957738671,1.24960101639568,2.53896748890122,0.989095776050361,2.00966707441137,1.2569951697822,1.00083578526164,1.87282303686719,0.993456626902485,0.9999852692102,0.993471261518811,7.3896126402744e-06,0.00015081770226269,1.56134449286223,0.000473237263018258,0.00965849769235639,99.9898682650453,Dijkstra,2,390,Multiparous,Group1
1687_1,358,35.4110854284097,35.4105640534125,0.951283535331967,1.31084610166422,3.70179588059888,1.03260918495777,2.91606194067501,1.31823120856049,1.04427708535277,1.81004913739489,0.975261783140214,0.999706972875762,0.975547645061203,2.71831887681634e-07,1.00577779853301e-05,1.7183071726384,1.58196542446878e-05,0.000585327098872605,99.9993988532461,Dijkstra,1,406,Primiparous,Group2
1776_4,288,20.6601851603285,20.6619439664316,0.786312221436822,1.45884391018222,7.06113666872395,1.16124687612538,5.62069926824854,1.46908153690748,1.17760246592996,1.94368953510668,0.881511098593524,0.992688154864266,0.888004046662626,3.09339890820643e-06,5.02022232383555e-05,2.12817225865361,0.000145351083769837,0.00235887700612821,99.9974957719102,Dijkstra,4,322,Multiparous,Group1
1876_4,336,22.2232833948446,22.2238908667763,0.955258595712468,1.32499071934316,5.96217352675499,1.05637096518935,4.75344235332212,1.33294869311244,1.06909832621572,2.2178451514609,0.977319053935547,0.999734774690944,0.977578332450899,3.6902214780059e-07,4.82059884464131e-06,1.75559521672451,2.10197119154668e-05,0.000274584058377838,99.9997043962292,Dijkstra,4,380,Multiparous,Group1
1970_3,365,20.6430792437353,20.6416983600173,0.963631157359861,1.39158909180473,6.74118950653665,1.10715787746122,5.36333685681711,1.39927748783767,1.11942555477381,2.0130052939931,0.981644156746693,0.999841273957379,0.981799993974382,1.90683984285165e-06,1.56817158719354e-05,1.9365026118742,9.84673355035659e-05,0.000809788396137256,99.9990917442681,Dijkstra,3,411,Multiparous,Group2
